,广州华立学院命题双向细目表,,,,,,
,(命题教师用）,,,,,,
,     2024-2025    学年第  一  学期,,,,,,
开课单位,计算机工程学院,,课程名称,java高级编程,,课程代码,89110020
命题教师,林原,,考试班级,22计算机g1班,,,
章节,,认知,理解,应用,分析,综合,合计
第一章 软件设计模式基础,选择题,2 ,,,,,10 
,填空题,2 ,,,,,
,判断题,1 ,,,,,
,简答题,,,5 ,,,
,综合题,,,,,,
第二章  创建型模式（上）,选择题,4 ,,,,,16 
,填空题,4 ,,,,,
,判断题,3 ,,,,,
,简答题,,,5 ,,,
,综合题,,,,,,
第三章 创建型模式（下）,选择题,2 ,,,,,17 
,填空题,,,,,,
,判断题,,,,,,
,简答题,,5 ,,,,
,综合题,,,,,10 ,
第四章 结构型模式（上）,选择题,4 ,,,,,10 
,填空题,,,,,,
,判断题,1 ,,,,,
,简答题,,5 ,,,,
,综合题,,,,,,
第五章 机构型模式（下）,选择题,,2 ,,,,8 
,填空题,,2 ,,,,
,判断题,1 ,,,,,
,简答题,,,,,,
,综合题,,,,3 ,,
第六章 行为型模式（上）,选择题,3 ,,,,,10 
,填空题,,2 ,,,,
,判断题,,,,,,
,简答题,,5 ,,,,
,综合题,,,,,,
第七章 行为型模式（中） ,选择题,,10 ,,,,12 
,填空题,2 ,,,,,
,判断题,,,,,,
,简答题,,,,,,
,综合题,,,,,,
第八章 行为型模式（下）,选择题,,2 ,,,,17 
,填空题,,,,,,
,判断题,,,,,,
,简答题,,5 ,,,,
,综合题,,,,,10 ,
合计,,29 ,38 ,10 ,3 ,20 ,100 
填表说明：命题老师必须将测试内容的类别，不同内容在试卷中所占的份量，各种内容采用的题型，各类试题所占的比重，考核的能力层次及分数比例填到表上,,,,,,,
,,,,,,,